meshblock_id,deprivation_index,deprivation_scores
28900,9,1085
29000,9,1085
29101,9,1085
29200,10,1272
29302,10,1272
29400,10,1272
29500,10,1272
29600,10,1261
29700,10,1261
29800,10,1261
29900,10,1261
30000,10,1256
30100,9,1085
30200,10,1165
30300,10,1256
30400,10,1256
30500,10,1256
30600,10,1203
30700,10,1203
30800,10,1203
30900,10,1203
31000,9,1085
31100,9,1085
31200,9,1135
31300,9,1085
31400,10,1157
31500,10,1157
31600,10,1165
31700,9,1085
31800,10,1165
31900,10,1165
32000,10,1165
32100,4,951
32200,8,1074
32300,8,1062
32400,6,983
32501,8,1074
32600,9,1127
32700,9,1127
32800,8,1059
32900,8,1059
33000,9,1127
33100,8,1069
33200,8,1069
33300,8,1069
33400,4,951
33500,8,1069
33600,5,955
33700,3,933
33800,5,965
33900,4,951
34000,6,983
34101,3,923
34102,5,955
34201,4,951
34202,4,947
34301,4,951
34302,6,999
34400,6,999
34500,7,1004
34600,8,1064
34700,8,1064
34800,6,979
34900,6,979
35000,6,983
35100,6,980
35200,6,980
35300,8,1067
35401,6,983
35402,9,1076
35501,9,1076
35502,6,983
35600,9,1076
35700,6,979
35800,7,1004
35900,6,988
36000,4,945
36100,4,945
36202,7,1020
36203,7,1020
36204,7,1020
36301,4,945
36302,6,994
36303,6,994
36401,6,988
36402,6,988
36500,6,994
36600,6,994
36700,8,1067
36800,8,1067
36901,8,1067
36902,8,1067
37000,9,1139
37100,10,1380
37202,10,1148
37204,6,994
37302,10,1148
37401,10,1160
37402,10,1380
37501,10,1189
37502,10,1189
37600,10,1148
37701,10,1148
37702,10,1148
37802,10,1210
37803,9,1076
37804,10,1210
37805,10,1210
37807,10,1237
37901,8,1059
38001,9,1128
38100,9,1128
38200,9,1095
38300,10,1148
38400,9,1141
38500,9,1128
38600,9,1141
38700,9,1141
38800,8,1059
38900,9,1141
39000,10,1167
39100,9,1141
39200,10,1167
39300,10,1167
39400,10,1167
39500,10,1167
39600,9,1132
39701,7,1020
39702,10,1149
39800,10,1148
39900,10,1149
40002,10,1149
40100,9,1132
40200,10,1248
40300,10,1248
40400,10,1248
40501,10,1167
40601,10,1167
40701,10,1212
40702,10,1327
40703,10,1212
40801,9,1130
40802,10,1184
40900,9,1130
41000,10,1355
41100,9,1095
41200,10,1184
41300,10,1165
41401,10,1223
41402,10,1223
41403,10,1223
41500,9,1095
41600,10,1237
41700,10,1298
41800,10,1200
41900,10,1200
42001,10,1330
42002,10,1312
42101,10,1330
42102,10,1330
42103,10,1312
42201,10,1327
42202,10,1327
42300,10,1341
42400,10,1211
42500,10,1170
42600,10,1355
42700,10,1160
42800,10,1229
42900,10,1229
43000,10,1229
43100,10,1242
43200,10,1347
43300,10,1211
43400,10,1170
43500,10,1189
43600,10,1242
43700,10,1148
43800,3,926
43902,6,997
43904,2,908
43905,5,960
43906,3,924
43907,6,997
44003,7,1014
44004,6,997
44005,3,923
44006,9,1074
44007,5,960
44008,6,997
44102,6,986
44201,6,992
44301,6,992
44402,,
44403,1,897
44404,4,942
44405,4,952
44406,4,952
44501,6,988
44503,7,1000
44504,10,1153
44505,5,964
44506,4,950
44507,5,968
44508,5,968
44602,6,996
44603,7,1000
44604,7,1000
44605,2,912
44606,4,950
44607,1,883
44608,5,968
44609,1,883
44610,4,950
44701,5,964
44702,8,1055
44703,7,1000
44801,5,956
44803,1,897
44804,6,982
44805,6,982
44806,6,982
44807,6,982
44808,5,958
44901,7,1009
44902,7,1009
45000,9,1100
45100,9,1100
45200,8,1039
45300,8,1039
45400,8,1039
45500,3,934
45600,9,1132
45700,10,1248
45800,7,1009
45901,3,934
45902,3,934
46001,3,934
46002,9,1100
46100,7,1009
46200,9,1076
46300,9,1099
46400,9,1099
46500,9,1099
46600,7,1020
46700,9,1099
46801,9,1100
46802,9,1132
46901,9,1132
46902,9,1132
47002,9,1132
47100,10,1248
47200,10,1248
47301,7,1020
47302,7,1020
47400,7,1020
47500,7,1020
47601,7,1006
47602,8,1053
47603,6,999
47701,8,1052
47702,8,1052
47801,8,1052
47802,8,1052
47901,8,1052
47902,8,1052
48001,8,1052
48004,8,1052
48102,10,1205
48203,10,1205
48204,10,1205
48205,10,1146
48301,,
48303,10,1147
48304,10,1146
48404,7,1017
48408,3,924
48409,6,997
48410,6,994
48500,10,1146
48602,10,1147
48702,8,1035
48800,8,1035
48900,8,1035
49000,10,1147
49102,10,1147
49104,10,1147
49204,7,1009
49206,6,997
49302,3,928
49303,1,882
49304,1,882
49305,6,989
49306,6,989
49307,1,882
49401,2,915
49403,8,1069
49404,9,1109
49405,9,1109
49406,10,1146
49407,9,1109
49501,7,1009
49502,7,1009
49503,5,974
49504,5,974
49505,6,984
49506,6,984
49507,6,984
49600,4,951
49700,5,957
49801,7,1021
49802,5,954
49901,3,928
49903,6,984
49904,1,881
49905,6,999
50001,1,881
50002,6,999
50003,6,999
50004,6,979
50100,7,1006
50201,6,997
50202,6,979
50303,6,999
50304,7,1025
50305,6,999
50306,9,1094
50307,9,1094
50308,9,1094
50309,9,1094
50310,7,1013
50311,7,1013
50400,8,1035
50501,6,997
50503,7,1025
50603,7,1025
50604,6,979
50605,3,925
50701,7,1025
50705,3,933
50802,7,1013
50803,8,1035
50804,3,925
50805,8,1053
50806,3,925
50902,7,1013
51000,6,997
51101,7,1025
51102,7,1025
51201,4,935
51202,4,935
51300,7,1001
51401,6,975
51402,5,955
51403,4,948
51405,4,948
51406,5,964
51407,4,947
51408,5,955
51409,4,948
51501,5,971
51502,5,971
51504,4,935
51505,,
51506,5,971
51507,7,1006
51508,,
51601,7,1006
51700,8,1053
51800,4,945
51900,8,1053
52001,10,1223
52002,10,1150
52100,8,1053
52300,10,1150
52400,7,1020
52501,10,1150
52502,10,1150
52600,7,1020
52700,10,1150
52800,8,1053
52902,5,958
52903,5,958
52904,6,977
52905,6,977
52906,6,977
52907,3,934
53001,3,934
53002,6,980
53003,6,980
53004,6,980
53005,6,980
53101,6,980
53102,6,996
53200,9,1134
53301,9,1134
53303,10,1182
53304,10,1230
53305,10,1182
53403,8,1069
53404,,
53405,10,1182
53406,10,1183
53407,10,1146
53408,9,1109
53502,7,1020
53503,7,1009
53504,7,1009
53505,7,1020
53506,10,1182
53507,7,1020
53508,7,1020
53509,7,1009
53700,10,1309
53800,10,1309
53900,10,1242
54000,5,957
54100,7,1013
54200,7,1015
54300,7,1030
54400,6,978
54501,7,1030
54502,5,973
54600,5,959
54700,5,973
54801,5,959
54802,7,1006
54900,10,1220
55000,10,1220
55100,10,1210
55200,10,1220
55300,10,1223
55400,10,1210
55500,10,1210
55600,10,1210
55700,10,1268
55801,10,1268
55802,10,1180
55900,10,1238
56001,10,1180
56002,10,1223
56100,10,1223
56200,10,1268
56300,5,964
56400,4,952
56500,5,964
56600,4,952
56700,5,964
56800,5,964
56900,7,1004
57000,6,985
57100,7,1004
57201,7,1007
57202,7,1004
57300,6,999
57400,10,1225
57500,10,1260
57600,10,1225
57700,9,1117
57800,6,999
57900,6,999
58000,9,1076
58100,10,1231
58200,10,1231
58300,9,1076
58400,9,1076
58500,10,1179
58600,9,1099
58700,10,1179
58800,10,1356
58901,,
59301,10,1167
59400,10,1167
59500,10,1302
59600,10,1302
59700,9,1135
59800,5,967
60000,5,967
60100,8,1035
60200,6,995
60300,8,1035
60400,8,1035
60500,8,1069
60600,5,955
60700,5,954
60800,6,980
60900,9,1100
61000,6,980
61200,5,967
61300,5,954
61502,9,1100
61600,5,954
61700,8,1052
61801,1,879
61802,,
61803,10,1324
61804,9,1132
61805,10,1324
61806,10,1415
61807,10,1328
61808,10,1396
61901,2,912
61902,2,901
61904,1,879
61905,1,877
62002,4,945
62102,8,1045
62105,8,1045
62106,5,968
62107,9,1103
62108,4,953
62109,2,908
62110,5,968
62202,1,886
62203,4,935
62204,3,923
62205,4,935
62206,3,923
62301,7,1002
62303,5,964
62401,7,1002
62402,6,976
62501,8,1055
62502,8,1055
62503,2,910
62504,2,910
62505,2,910
62506,7,1002
62507,5,967
62600,5,967
62702,8,1055
62703,7,1026
62704,4,943
62705,8,1055
62800,4,943
62900,10,1157
63000,9,1093
63100,8,1032
63200,10,1203
63400,8,1072
63500,9,1079
63600,9,1137
63701,2,905
63703,2,905
63704,10,1155
63705,9,1079
63801,2,911
63803,4,948
63804,8,1047
63805,9,1079
63900,2,915
64000,2,911
64100,2,905
64200,2,905
64300,2,916
64401,9,1079
64402,9,1079
64501,10,1203
64503,2,905
64504,2,905
64600,2,912
64700,2,911
64800,5,960
64900,6,975
65000,6,975
65102,5,960
65200,6,975
65300,5,960
65400,3,928
65500,5,960
65600,6,995
65700,3,933
65800,3,933
65900,8,1069
66000,5,960
66100,9,1089
66200,9,1084
66300,9,1089
66400,9,1089
66500,9,1084
66600,9,1089
66700,9,1084
66800,9,1084
66900,9,1084
67300,6,976
67400,6,976
67500,6,976
67600,6,976
67700,3,933
67800,8,1070
67900,8,1070
68100,6,976
68200,10,1158
68300,10,1158
68400,10,1158
68500,4,948
68600,3,933
68700,4,948
68801,3,929
68802,3,928
68900,5,955
69000,3,930
69100,4,935
69201,2,917
69202,2,917
69300,1,892
69402,2,905
69403,2,901
69404,2,905
69500,9,1082
69603,2,905
69604,4,936
69606,2,913
69607,1,878
69608,2,903
69609,4,948
69700,1,882
69800,2,901
69900,2,901
70001,5,965
70002,5,965
70003,5,965
70100,1,884
70201,8,1035
70203,5,954
70205,3,918
70206,3,918
70207,3,918
70208,6,993
70209,6,993
70300,3,928
70400,4,941
70501,8,1035
70502,1,867
70503,1,892
70504,8,1035
70505,1,867
70506,1,867
70600,1,898
70700,2,900
70801,3,919
70802,1,875
70903,4,941
70904,1,875
70905,1,875
70906,1,882
70907,1,898
71001,1,892
71002,2,905
71003,2,905
71004,3,919
71005,2,907
71006,2,907
71100,2,911
71200,4,942
71301,4,943
71302,4,942
71400,4,942
71500,3,933
71600,2,915
71701,4,943
71702,3,934
71800,6,979
71901,2,900
71902,6,984
72000,4,944
72101,2,900
72102,8,1037
72200,3,933
72300,3,933
72401,3,933
72403,6,984
72502,6,984
72601,1,871
72603,6,993
72604,5,973
72605,2,898
72606,2,898
72607,2,898
72702,3,934
72703,3,934
72704,2,899
72705,4,936
72706,6,991
72801,1,877
72802,2,902
72900,4,936
73001,2,914
73002,3,932
73003,2,914
73004,2,914
73005,6,986
73006,6,986
73101,6,976
73102,6,976
73103,6,976
73104,6,976
73105,6,976
73200,6,996
73302,4,951
73400,6,996
73501,3,920
73503,3,928
73504,3,928
73505,2,910
73601,3,932
73602,4,937
73701,4,951
73703,6,986
73704,3,919
73705,3,919
73706,3,933
73802,4,948
73805,5,968
73806,4,948
73900,2,915
74001,5,968
74004,4,942
74005,4,942
74101,6,979
74102,3,934
74203,6,979
74204,6,979
74205,5,964
74206,5,964
74207,4,936
74208,4,951
74209,4,951
74210,4,936
74211,4,936
74304,4,944
74305,3,918
74306,3,918
74307,7,1002
74308,7,1002
74309,7,1002
74310,7,1002
74311,4,942
74312,4,942
74601,7,1005
74602,4,947
74702,7,1029
74703,7,1029
74704,7,1029
74801,4,941
74802,7,1005
74803,6,989
74900,5,973
75001,3,934
75002,3,934
75100,6,989
75200,5,963
75300,6,978
75401,5,971
75402,4,942
75403,4,942
75404,5,961
75500,5,971
75601,4,941
75602,7,1005
75700,5,961
76000,6,984
76100,6,984
76200,4,947
76300,6,984
76400,4,947
76500,6,984
76701,5,973
76800,6,984
76902,5,961
77000,8,1034
77100,5,961
77200,8,1070
77300,5,959
77400,5,961
77500,5,961
77600,5,961
77700,5,961
77800,5,971
77902,4,950
78001,5,959
78002,5,959
78100,5,959
78200,5,959
78302,6,983
78303,8,1058
78304,6,983
78305,6,983
78401,6,992
78402,8,1035
78403,7,1007
78501,7,1026
78502,8,1069
78503,8,1069
78504,8,1069
78601,3,929
78602,5,961
78700,5,962
78800,8,1058
78900,8,1058
79002,5,959
79003,5,959
79006,7,1015
79007,2,912
79009,2,912
79011,7,1015
79012,3,927
79013,3,927
79014,3,927
79015,5,959
79016,5,959
79017,6,997
79101,8,1058
79102,7,1005
79201,6,983
79202,10,1191
79203,6,983
79301,6,997
79302,6,997
79303,6,997
79304,7,1005
79305,7,1005
79402,7,1002
79403,7,1005
79404,7,1015
79405,7,1019
79406,7,1019
79407,7,1019
79500,7,1005
79601,10,1191
79603,10,1191
79605,9,1098
79606,10,1227
79703,10,1222
79704,10,1166
79802,5,962
79803,9,1080
79805,9,1080
79806,7,1010
79807,7,1010
79808,7,1010
79809,7,1010
79810,7,1010
79811,5,965
79812,5,965
79813,5,965
79814,5,965
79815,5,965
79816,5,965
79901,5,962
79903,5,962
79904,9,1080
80000,6,989
80100,5,962
80200,5,973
80301,7,1023
80302,6,981
80400,7,1001
80500,6,989
80600,7,1023
80700,3,928
80800,6,981
80900,7,1024
81000,7,1023
81100,7,1000
81200,5,969
81300,6,988
81401,2,915
81402,2,915
81403,2,910
81404,2,910
81405,2,910
81406,2,910
81407,2,915
81408,7,1027
81501,2,915
81502,2,915
81503,3,923
81504,2,915
81505,3,923
81506,3,923
81507,3,923
81508,3,923
81509,3,923
81510,3,923
81511,3,923
81512,3,923
81513,3,923
81514,3,923
81700,,
81801,,
81900,5,969
82001,5,966
82002,8,1073
82100,8,1073
82200,5,965
82300,5,965
82400,4,936
82500,5,971
82601,5,971
82602,3,934
82701,5,966
82703,3,929
82704,4,936
82801,8,1054
82803,3,929
82804,8,1054
82900,8,1054
83001,9,1076
83002,5,962
83100,7,1016
83200,6,995
83300,8,1056
83400,9,1107
83500,9,1074
83600,10,1171
83701,9,1107
83702,9,1107
83801,10,1171
83802,9,1074
83803,8,1057
83901,9,1129
83903,9,1122
83904,9,1109
84000,10,1234
84100,10,1162
84200,8,1034
84300,8,1034
84400,8,1057
84500,8,1058
84600,8,1057
84700,8,1054
84800,6,988
84900,6,988
85000,7,1016
85100,7,1017
85200,6,981
85300,5,972
85400,6,986
85501,5,962
85502,4,948
85503,7,1003
85600,7,1003
85700,7,1017
85800,8,1042
85900,8,1040
86000,8,1040
86102,10,1415
86103,8,1040
86104,9,1099
86105,7,1000
86200,9,1101
86300,9,1132
86400,10,1154
86500,9,1136
86600,9,1099
86700,8,1071
86800,9,1074
86900,10,1142
87000,8,1065
87100,9,1132
87200,10,1324
87300,10,1143
87400,9,1126
87500,6,993
87600,8,1038
87700,8,1053
87800,8,1042
87900,8,1038
88000,8,1048
88100,5,963
88200,8,1038
88301,7,1010
88302,6,991
88400,5,973
88501,5,973
88502,9,1077
88600,9,1077
88700,8,1040
88801,5,954
88802,7,1003
88900,6,999
89000,2,913
89100,5,963
89201,3,933
89202,8,1042
89203,10,1190
89300,9,1091
89400,6,995
89500,5,954
89601,6,986
89602,10,1190
89700,9,1124
89800,9,1091
89900,9,1141
90000,9,1141
90100,6,995
90200,7,1002
90300,9,1111
90400,10,1181
90500,10,1268
90600,9,1123
90700,9,1099
90800,9,1076
90900,6,999
91000,9,1076
91100,9,1076
91200,8,1066
91300,9,1082
91400,7,1020
91500,9,1097
91600,6,992
91700,9,1111
91800,8,1031
91900,6,990
92000,8,1059
92100,6,982
92200,7,1025
92300,9,1083
92400,9,1083
92500,10,1418
92600,10,1330
92700,10,1196
92800,10,1399
92900,10,1330
93000,10,1196
93100,9,1080
93200,10,1288
93300,10,1300
93400,10,1288
93500,10,1288
93600,10,1449
93700,10,1399
93800,10,1300
93900,10,1300
94000,10,1418
94100,10,1449
94200,10,1412
94300,10,1412
94400,10,1449
94500,9,1076
94600,6,990
94700,9,1133
94800,10,1181
94900,10,1268
95000,10,1181
95100,9,1097
95200,7,1027
95301,4,943
95302,4,943
95401,5,962
95402,5,962
95403,5,962
95500,5,957
95601,5,957
95602,10,1144
95700,7,1009
95800,9,1102
95900,8,1073
96000,9,1134
96100,9,1102
96201,7,1009
96300,7,1009
96400,9,1119
96500,7,1001
96600,9,1116
96700,8,1071
96800,8,1071
96900,7,1001
97000,9,1087
97100,9,1119
97200,8,1061
97300,8,1061
97400,8,1055
97500,10,1144
97600,10,1144
97700,8,1039
97800,9,1109
97900,8,1039
98000,9,1096
98100,10,1168
98200,10,1255
98300,10,1144
98400,9,1096
98500,10,1188
98600,10,1172
98700,10,1174
98800,10,1144
98900,10,1174
99000,10,1272
99200,10,1168
99300,10,1168
99600,10,1168
99700,10,1167
99800,10,1168
99903,8,1071
99904,10,1168
100000,10,1168
100200,10,1167
100300,10,1167
100500,10,1167
100600,10,1168
100700,10,1167
100800,10,1144
100901,9,1096
100902,9,1096
101001,9,1096
101002,3,924
101100,8,1071
101200,5,966
101301,9,1096
101302,5,966
101303,9,1097
101304,9,1097
101401,3,924
101402,3,924
101501,3,924
101502,7,1003
101503,7,1003
101601,8,1071
101602,8,1071
101700,8,1071
101801,7,1003
101802,7,1003
101803,7,1003
101900,6,990
102000,5,972
102100,6,975
102201,6,975
102204,7,1022
102205,6,986
102206,6,986
102300,1,894
102400,8,1070
102500,7,1023
102601,7,1023
102602,7,1023
102701,7,1023
102702,4,950
102800,7,1000
102901,4,950
102902,7,1000
103000,10,1172
103100,9,1086
103200,10,1157
103300,7,1000
103400,10,1145
103500,8,1044
103600,10,1157
103700,10,1156
103800,10,1185
103900,10,1167
104000,10,1167
104100,8,1056
104200,10,1145
104301,9,1102
104302,8,1063
104400,10,1153
104500,8,1036
104600,9,1078
104700,10,1167
104800,9,1130
104900,8,1040
105000,8,1063
105100,9,1130
105200,9,1119
105300,7,1025
105400,8,1051
105500,9,1119
105600,9,1104
105700,9,1114
105800,9,1114
105900,7,1030
106000,8,1058
106100,8,1032
106201,8,1032
106202,3,918
106203,4,951
106300,4,951
106400,6,993
106500,2,912
106600,8,1033
106700,2,905
106801,5,967
106802,5,967
106803,2,905
106901,6,993
106902,2,917
106903,8,1033
107000,2,917
107100,9,1104
107200,8,1044
107300,8,1036
107400,9,1104
107500,8,1043
107602,7,1028
107603,9,1113
107604,10,1290
107700,10,1238
107801,7,1010
107802,10,1238
107803,9,1101
107901,7,1010
107903,10,1265
107904,9,1081
107905,10,1242
107906,10,1488
107907,10,1369
107908,10,1265
107909,10,1488
108000,10,1270
108200,10,1208
108300,10,1198
108401,9,1104
108402,10,1270
108403,10,1270
108404,10,1270
108500,10,1169
108600,10,1274
108700,10,1305
108800,10,1305
108900,9,1133
109000,10,1143
109102,10,1143
109103,7,1025
109104,10,1265
109200,9,1133
109300,9,1133
109402,7,1000
109403,6,991
109500,6,991
109600,8,1065
109700,8,1065
109800,7,1000
109900,6,985
110001,9,1132
110002,9,1135
110003,9,1121
110101,9,1132
110102,8,1061
110200,9,1099
110300,9,1121
110400,8,1048
110501,8,1048
110502,9,1103
110601,9,1132
110602,9,1086
110603,9,1086
110700,9,1132
110801,6,991
110802,7,1007
110900,5,967
111001,7,1020
111002,7,1020
111003,7,1020
111004,7,1007
111005,7,1007
111006,8,1068
111100,8,1068
111200,4,935
111300,5,969
111400,6,983
111501,7,1023
111502,8,1059
111600,9,1099
111700,10,1337
111800,6,985
111900,7,1023
112000,2,899
112100,9,1099
112201,10,1186
112202,10,1166
112300,2,912
112400,4,951
112500,4,951
112600,5,965
112700,8,1033
112800,8,1033
112900,,
113000,5,960
113100,5,960
113201,8,1041
113202,10,1221
113300,10,1205
113400,9,1079
113500,9,1129
113600,9,1105
113700,9,1105
113800,10,1165
113900,10,1165
114000,9,1120
114101,7,1027
114102,5,960
114201,8,1047
114202,10,1163
114301,8,1047
114302,9,1107
114400,7,1009
114500,5,971
114600,7,1021
114700,9,1087
114800,9,1087
114900,8,1041
115000,9,1077
115100,4,936
115200,7,1009
115300,9,1074
115400,10,1178
115500,10,1178
115600,9,1074
115700,10,1164
115800,4,942
115900,8,1053
116000,8,1037
116100,9,1074
116200,9,1074
116400,9,1129
116500,10,1179
116600,4,942
116700,4,942
116800,10,1249
116900,10,1164
117000,9,1095
117100,7,1014
117200,3,928
117301,6,978
117302,6,978
117303,7,1009
117304,8,1035
117400,3,928
117500,3,928
117600,6,978
117700,4,953
117800,8,1035
117900,6,992
118000,6,992
118100,8,1061
118200,6,992
118300,8,1063
118400,6,992
118500,8,1063
118600,9,1119
118700,9,1119
118800,9,1119
118900,8,1061
119000,8,1061
119100,9,1080
119200,9,1080
119300,9,1080
119400,9,1080
119500,7,1013
119600,4,936
119700,4,936
119800,5,960
119900,4,936
120000,5,960
120100,9,1120
120200,7,1013
120300,7,1013
120400,6,990
120500,6,990
120600,6,990
120700,5,972
120800,5,972
120900,6,979
121000,6,979
121100,6,979
121200,6,979
121300,5,971
121400,5,971
121500,5,971
121600,5,971
121700,6,981
121800,6,981
121900,9,1105
122000,3,919
122100,3,919
122200,5,963
122300,5,964
122400,5,964
122500,5,964
122600,6,998
122900,9,1083
123000,9,1083
123100,9,1083
123200,9,1115
123300,9,1115
123400,9,1135
123500,5,962
123600,5,962
123700,5,962
123801,5,962
123802,5,962
123901,7,1004
123902,5,962
123903,7,1004
123904,7,1004
124000,5,962
124100,7,1004
124200,7,1004
124300,7,1015
124400,4,953
124500,7,1015
124600,8,1050
124700,8,1045
124800,8,1050
124900,8,1045
125000,9,1127
125100,10,1301
125200,9,1127
125300,9,1127
125400,10,1301
125500,10,1301
125600,9,1135
125700,7,1029
125800,7,1021
125900,6,998
126000,6,977
126100,6,977
126200,7,1021
126300,6,977
126400,10,1153
126500,6,977
126600,7,1021
126800,10,1153
126900,10,1176
127000,10,1176
127100,10,1176
127200,8,1067
127300,8,1067
127400,6,977
127500,10,1153
127600,7,1021
127700,7,1021
127800,4,937
127900,7,1010
128000,7,1010
128100,7,1010
128200,7,1010
128300,7,1010
128400,4,937
128500,7,1029
128600,4,937
128701,8,1045
128702,8,1045
128800,8,1045
128900,8,1060
129000,8,1060
129100,8,1060
129200,8,1060
129300,10,1207
129400,5,963
129500,8,1034
129600,6,994
129700,8,1052
129800,8,1052
129900,5,972
130000,7,1026
130100,5,972
130200,7,1026
130300,7,1002
130400,7,1026
130500,7,1014
130600,7,1014
130700,7,1002
130801,8,1071
130802,5,963
130803,5,963
130901,7,1005
130902,8,1071
131100,3,925
131200,7,1018
131300,6,976
